1;404;страница;не;найдена;;;;;;;;
2;Разрешить;отладку;;;;;;;;;;
3;Личный;сервер;;;;;;;;;;
4;Белый;список;;;;;;;;;;
5;Черный;список;;;;;;;;;;
6;Администратор;;;;;;;;;;;
7;Максимум;слотов;;;;;;;;;;
8;Место;появления;;;;;;;;;;
9;Репутация;;;;;;;;;;;
10;Использовать;отходы;;;;;;;;;;
11;Настройки;сети;;;;;;;;;;
12;Публичный;сервер;;;;;;;;;;
13;IP;адрес;;;;;;;;;;
14;Порт;игрового;сервера;;;;;;;;;
15;Порт;веб-сервера;;;;;;;;;;
16;Частота;;;;;;;;;;;
17;Сервис;обозревателя;серверов;;;;;;;;;
18;Сохранить;;;;;;;;;;;
19;Исследователь;причины;и;эффекта;;;;;;;;
20;Выбор;категории;;;;;;;;;;
21;Выбор;слоя;;;;;;;;;;
22;Карта;отображает;400;кв.;метров;с;центром;в;50,50;;;
23;Эко-Выборы;;;;;;;;;;;
24;Выберите;выборы;в;меню;или;начните;новые;;;;;
25;Кандидаты;;;;;;;;;;;
26;Избранные;лица;получат;15;документов;на;собственность;;;;;
27;Когда;казна;будет;построена,;он;сможет;устанавливать;налоги;(функция;в;разработке);
28;Эти;выборы;используют;;;;;;;;;
29;Мгновенное;рейтинговое;голосование;;;;;;;;;
30;Голосовать;;;;;;;;;;;
31;Участвовать;в;выборах;;;;;;;;;
32;Сняться;с;выборов;;;;;;;;;
33;Текущие;результаты;;;;;;;;;;
34;Никто;не;голосовал;;;;;;;;;
35;Голоса;за;раунд;;;;;;;;;
36;Показать;все;голоса;;;;;;;;;
37;Обсуждение;;;;;;;;;;;
38;День;;;;;;;;;;;
39;Введите;ваш;комментарий;;;;;;;;;
40;Удалить;график;;;;;;;;;;
41;Удалить;карту;;;;;;;;;;
42;Отправить;;;;;;;;;;;
43;Нет;;;;;;;;;;;
44;Новые;выборы;начнутся;когда;вы;станете;кандидатом;;;;;
45;Пожалуйста;расскажите;почему;вас;должны;выбрать;;;;;;
46;Введите;вашу;речь;;;;;;;;;
47;Выборы;;;;;;;;;;;
48;Состояние;мира;;;;;;;;;;
49;Научные;данные;;;;;;;;;;
50;Причины;и;Результаты;;;;;;;;;
51;Участвовать;в;выборах;;;;;;;;;
52;Текущие;выборы;;;;;;;;;;
53;Предыдущие;выборы;;;;;;;;;;
54;Законы;;;;;;;;;;;
55;Предложить;закон;;;;;;;;;;
56;Активные;законы;;;;;;;;;;
57;Предложенные;законы;;;;;;;;;;
58;Просмотр;районов;;;;;;;;;;
59;Выбор;слоя;карты;;;;;;;;;
60;Данные;;;;;;;;;;;
61;График;;;;;;;;;;;
62;Линейный;;;;;;;;;;;
63;Столбчатый;;;;;;;;;;;
64;День;;;;;;;;;;;
65;Просмотр;глобальных;эффектов;воздействующих;на;мир;и;их;взаимодействие;друг;с;другом
66;Выберите;категорию;вверху;и;используя;панель;времени;внизу;просматривайте;историю;;
67;Исследование;причины;и;эффекта;;;;;;;;
68;Настройки;пользователей;;;;;;;;;;
69;Требуется;аутентификация;;;;;;;;;;
70;дни/сек;;;;;;;;;;;
71;Внутри-игровые;действия;;;;;;;;;;
72;Эко-законы;;;;;;;;;;;
73;Выберите;закон;из;списка;или;добавьте;новый;;;;;
